"name","allycode","estimatedScore","lastActualScore","diff","diffPercent"
"Abraham","297355133",16503000,17820000,1317000,8
"TSCC","334769237",11898500,8090000,-3808500,-32
"Ringo","368357455",10287000,12150000,1863000,18.1
"ṪѦ MakoDeth","218983262",10241000,6310000,-3931000,-38.4
"SuPerioR 3","439635988",8850500,,,
"Ro-Tahn Taske","851385852",8771500,5400000,-3371500,-38.4
"DarthNox 2703","386563717",8451000,9450000,999000,11.8
"DragonKing","257351551",8341000,,,
"Josef29","588644288",8154500,8700000,545500,6.7
"No Datacron Pille","958598547",7839000,6472500,-1366500,-17.4
"MILU1110","341197896",7821500,8257500,436000,5.6
"Emmitt","627611788",7326000,6410000,-916000,-12.5
"Deus ex Machina","685272141",6875000,7350000,475000,6.9
"ṪѦ JediFant","861435415",6560000,5587500,-972500,-14.8
"Jellal","987862611",6203500,4605000,-1598500,-25.8
"Odins rache","229262754",6121000,5617500,-503500,-8.2
"SКЏШΛŁКΞЯ","442171851",5994500,5350000,-644500,-10.8
"Papa Faett","842281138",5628000,3600000,-2028000,-36
"Silchas Ruin","485891948",5570500,5482500,-88000,-1.6
"Skymaster","774651231",5377000,5752500,375500,7
"Gollo","114814146",5151500,5625000,473500,9.2
"Kohlenkalle","655291236",5117500,5400000,282500,5.5
"Nachtwolf74","629941441",4740500,2017500,-2723000,-57.4
"Hoss","997196913",4737500,2247500,-2490000,-52.6
"CaptainKelly","718362326",4621500,4432500,-189000,-4.1
"LordSkinny","633524812",4617000,3232500,-1384500,-30
"Stoffel","786132254",4617000,300000,-4317000,-93.5
"DonBull","726762935",4610500,3860000,-750500,-16.3
"NΞKΘNΞΧU シ","656655975",4426000,600000,-3826000,-86.4
"RitterRunkel","724534733",4121500,6600000,2478500,60.1
"East Clintwood","822211689",3873500,4200000,326500,8.4
"VADS666","351844152",3842500,4515000,672500,17.5
"MrBete","862865286",3744500,1980000,-1764500,-47.1
"Appo","626873282",3571000,300000,-3271000,-91.6
"Mol Hosk","913615485",3553000,2850000,-703000,-19.8
"Acania","748991189",3492000,1825000,-1667000,-47.7
"DarthUnaxis","731554425",3448000,1965000,-1483000,-43
"Lanzi","636115652",3415000,2850000,-565000,-16.5
"Thyranus","885297615",3410000,1605000,-1805000,-52.9
"Snafu exHuibu","991112621",3322500,2210000,-1112500,-33.5
"ṪѦ Thom san","277948331",3252000,2355000,-897000,-27.6
"Aleix Koka","728896449",3048500,2360000,-688500,-22.6
"Kyle Katarn","397297858",2903000,2392500,-510500,-17.6
"HaihappenUhaha","988393429",2855000,1530000,-1325000,-46.4
"Imperator","877586864",2821500,2640000,-181500,-6.4
"CJ","734513757",2215500,1622500,-593000,-26.8
"SS","181786441",2187500,1367500,-820000,-37.5
"Goldbeard Ceadeus","663265392",2013500,435000,-1578500,-78.4
"Joggl","161384159",1799000,1947500,148500,8.3
"Tony1220","765335759",1528000,1400000,-128000,-8.4
