"name","allycode","estimatedScore","lastActualScore","diff","diffPercent"
"Abraham","297355133",16502000,17820000,1318000,8
"Ringo","368357455",10279000,12150000,1871000,18.2
"DarthNox 2703","386563717",8380500,9450000,1069500,12.8
"MILU1110","341197896",7809000,8100000,291000,3.7
"Josef29","588644288",8137500,8100000,-37500,-0.5
"Deus ex Machina","685272141",6842500,7200000,357500,5.2
"RitterRunkel","724534733",4120500,6600000,2479500,60.2
"Emmitt","627611788",7093500,6487500,-606000,-8.5
"No Datacron Pille","958598547",7829500,6052500,-1777000,-22.7
"ṪѦ MakoDeth","218983262",10214000,5752500,-4461500,-43.7
"Silchas Ruin","485891948",5099000,5617500,518500,10.2
"Odins rache","229262754",6109500,5462500,-647000,-10.6
"Papa Faett","842281138",5189500,5250000,60500,1.2
"Skymaster","774651231",5263000,5152500,-110500,-2.1
"CaptainKelly","718362326",4550000,4127500,-422500,-9.3
"East Clintwood","822211689",3848000,3915000,67000,1.7
"Jellal","987862611",6198500,3900000,-2298500,-37.1
"VADS666","351844152",3057500,3790000,732500,24
"Mol Hosk","913615485",3399500,3615000,215500,6.3
"Ro-Tahn Taske","851385852",8760500,3600000,-5160500,-58.9
"Stoffel","786132254",4539500,3395000,-1144500,-25.2
"DonBull","726762935",4610500,3170000,-1440500,-31.2
"LordSkinny","633524812",4616000,3030000,-1586000,-34.4
"NΞKΘNΞΧU シ","656655975",3722500,3030000,-692500,-18.6
"ṪѦ JediFant","861435415",4527500,2877500,-1650000,-36.4
"Kohlenkalle","655291236",2836000,2700000,-136000,-4.8
"Imperator","877586864",2755000,2625000,-130000,-4.7
"MrBete","862865286",3744000,2580000,-1164000,-31.1
"Aleix Koka","728896449",2968500,2452500,-516000,-17.4
"Gollo","114814146",5120000,2440000,-2680000,-52.3
"Lanzi","636115652",3072500,2430000,-642500,-20.9
"Goldbeard Ceadeus","663265392",2013500,2400000,386500,19.2
"Exar Kun","587915188",2030500,2300000,269500,13.3
"Kyle Katarn","397297858",2848500,2145000,-703500,-24.7
"ṪѦ Thom san","277948331",3230500,2140000,-1090500,-33.8
"Nachtwolf74","629941441",4451500,2107500,-2344000,-52.7
"Hoss","997196913",4733000,2100000,-2633000,-55.6
"Acania","748991189",3454500,1975000,-1479500,-42.8
"Joggl","161384159",1794500,1912500,118000,6.6
"Snafu exHuibu","991112621",2841500,1825000,-1016500,-35.8
"Poldy","198972786",2321500,1680000,-641500,-27.6
"CJ","734513757",2194000,1665000,-529000,-24.1
"Thyranus","885297615",3383000,1615000,-1768000,-52.3
"Tony1220","765335759",1495500,1400000,-95500,-6.4
"SS","181786441",2183000,1395000,-788000,-36.1
"HaihappenUhaha","988393429",2257000,1200000,-1057000,-46.8
"DarthUnaxis","731554425",3446000,900000,-2546000,-73.9
"Appo","626873282",3532000,450000,-3082000,-87.3
"TSCC","334769237",10699500,,,
"SКЏШΛŁКΞЯ","442171851",5985000,,,
