"name","allycode","estimatedScore","lastActualScore","diff","diffPercent"
"RitterRunkel","724534733",4125000,6667500,2542500,61.6
"SuPerioR 3","439635988",8764500,10500000,1735500,19.8
"Ringo","368357455",10291500,12150000,1858500,18.1
"VADS666","351844152",3844000,4495000,651000,16.9
"DarthNox 2703","386563717",8445000,9450000,1005000,11.9
"Tony1220","765335759",1528000,1705000,177000,11.6
"Abraham","297355133",16503000,17820000,1317000,8
"Josef29","588644288",8156500,8700000,543500,6.7
"MILU1110","341197896",7823500,8265000,441500,5.6
"Silchas Ruin","485891948",5766000,6082500,316500,5.5
"Kohlenkalle","655291236",5147500,5400000,252500,4.9
"Aleix Koka","728896449",5275000,5460000,185000,3.5
"East Clintwood","822211689",3873500,4005000,131500,3.4
"CaptainKelly","718362326",6607500,6817500,210000,3.2
"Imperator","877586864",2969500,3007500,38000,1.3
"Skymaster","774651231",5376500,5400000,23500,0.4
"DragonKing","257351551",8339000,8345000,6000,0.1
"Telemachus","237913636",4970500,,,
"Emmitt","627611788",7327500,7265000,-62500,-0.9
"Papa Faett","842281138",5627000,5550000,-77000,-1.4
"Deus ex Machina","685272141",7357500,7200000,-157500,-2.1
"Joggl","161384159",2326000,2152500,-173500,-7.5
"HaihappenUhaha","988393429",2854500,2550000,-304500,-10.7
"SКЏШΛŁКΞЯ","442171851",5995000,5302500,-692500,-11.6
"Stoffel","786132254",6379000,5620000,-759000,-11.9
"Lanzi","636115652",3420500,3000000,-420500,-12.3
"Kyle Katarn","397297858",2944000,2550000,-394000,-13.4
"No Datacron Pille","958598547",7837000,6742500,-1094500,-14
"ṪѦ JediFant","861435415",6560000,5550000,-1010000,-15.4
"DonBull","726762935",4611000,3750000,-861000,-18.7
"MrBete","862865286",3744500,2985000,-759500,-20.3
"Snafu exHuibu","991112621",3325000,2645000,-680000,-20.5
"Jellal","987862611",6206000,4800000,-1406000,-22.7
"Mol Hosk","913615485",3556000,2550000,-1006000,-28.3
"TSCC","334769237",11900500,8475000,-3425500,-28.8
"NΞKΘNΞΧU シ","656655975",4425500,3115000,-1310500,-29.6
"ṪѦ Thom san","277948331",3340500,2275000,-1065500,-31.9
"SS","181786441",2187500,1475000,-712500,-32.6
"Thyranus","885297615",3410500,2232500,-1178000,-34.5
"Ro-Tahn Taske","851385852",8770500,5550000,-3220500,-36.7
"LordSkinny","633524812",5143000,3240000,-1903000,-37
"Appo","626873282",3573000,2231250,-1341750,-37.6
"ṪѦ MakoDeth","218983262",10241000,6340000,-3901000,-38.1
"CJ","734513757",2904000,1635000,-1269000,-43.7
"DarthUnaxis","731554425",3890000,2167500,-1722500,-44.3
"Acania","748991189",3756000,1885000,-1871000,-49.8
"Nachtwolf74","629941441",5706000,2700000,-3006000,-52.7
"Hoss","997196913",4737500,2180000,-2557500,-54
"Goldbeard Ceadeus","663265392",2020000,680000,-1340000,-66.3
"Odins rache","229262754",6121000,300000,-5821000,-95.1
