"name","allycode","estimatedScore","lastActualScore","diff","diffPercent"
"Abraham","297355133",16499500,18000000,1500500,9.1
"Ringo","368357455",10276500,12000000,1723500,16.8
"DarthNox 2703","386563717",8223500,9150000,926500,11.3
"MILU1110","341197896",7807500,7800000,-7500,-0.1
"RitterRunkel","724534733",4119000,6600000,2481000,60.2
"ṪѦ MakoDeth","218983262",10209500,5590000,-4619500,-45.2
"Ro-Tahn Taske","851385852",8747500,5550000,-3197500,-36.6
"Silchas Ruin","485891948",5095000,5272500,177500,3.5
"Deus ex Machina","685272141",4797000,4800000,3000,0.1
"Josef29","588644288",5845500,4800000,-1045500,-17.9
"Emmitt","627611788",4992500,4695000,-297500,-6
"Odins rache","229262754",6046500,4400000,-1646500,-27.2
"CaptainKelly","718362326",4360000,3840000,-520000,-11.9
"Papa Faett","842281138",5193500,3600000,-1593500,-30.7
"No Datacron Pille","958598547",7803000,3375000,-4428000,-56.7
"VADS666","351844152",3055000,3270000,215000,7
"Stoffel","786132254",4539500,3037500,-1502000,-33.1
"Jellal","987862611",6202000,2972500,-3229500,-52.1
"DonBull","726762935",4274500,2910000,-1364500,-31.9
"East Clintwood","822211689",3471500,2805000,-666500,-19.2
"Skymaster","774651231",5145500,2700000,-2445500,-47.5
"Mol Hosk","913615485",3401500,2700000,-701500,-20.6
"Imperator","877586864",2756000,2550000,-206000,-7.5
"LordSkinny","633524812",4617000,2437500,-2179500,-47.2
"HaihappenUhaha","988393429",2257500,2380000,122500,5.4
"Exar Kun","587915188",2030500,2365000,334500,16.5
"DarthUnaxis","731554425",3444500,2325000,-1119500,-32.5
"Gollo","114814146",5121000,2300000,-2821000,-55.1
"Aleix Koka","728896449",2967500,2127500,-840000,-28.3
"Kohlenkalle","655291236",2836000,2100000,-736000,-26
"ṪѦ Thom san","277948331",2833000,2027500,-805500,-28.4
"Hoss","997196913",4733000,1991250,-2741750,-57.9
"Kyle Katarn","397297858",2841500,1870000,-971500,-34.2
"Joggl","161384159",1748500,1720000,-28500,-1.6
"Snafu exHuibu","991112621",2840500,1630000,-1210500,-42.6
"Nachtwolf74","629941441",4447500,1625000,-2822500,-63.5
"El Grande","949461414",1787500,1605000,-182500,-10.2
"CJ","734513757",2193500,1522500,-671000,-30.6
"Goldbeard Ceadeus","663265392",2006500,1465000,-541500,-27
"Tony1220","765335759",1495500,1430000,-65500,-4.4
"ṪѦ JediFant","861435415",3148000,1370000,-1778000,-56.5
"Acania","748991189",3455000,1367500,-2087500,-60.4
"Thyranus","885297615",2890500,1350000,-1540500,-53.3
"Lanzi","636115652",3073000,1200000,-1873000,-61
"SS","181786441",2181000,1170000,-1011000,-46.4
"Poldy","198972786",1782000,1055000,-727000,-40.8
"MrBete","862865286",3741000,0,-3741000,-100
"Appo","626873282",3167500,0,-3167500,-100
"RoteZora87","532287738",2195500,0,-2195500,-100
"NΞKΘNΞΧU シ","656655975",3722000,,,
