"name","allycode","estimatedScore","lastActualScore","diff","diffPercent"
"Abraham","297355133",16517000,18000000,1483000,9
"TSCC","334769237",12800500,10390000,-2410500,-18.8
"ṪѦ MakoDeth","218983262",12191000,6990000,-5201000,-42.7
"Ringo","368357455",10729500,12150000,1420500,13.2
"DarthNox 2703","386563717",10697000,12470000,1773000,16.6
"Ro-Tahn Taske","851385852",9214500,5700000,-3514500,-38.1
"SuPerioR 3","439635988",9161500,10500000,1338500,14.6
"DragonKing","257351551",8794000,8500000,-294000,-3.3
"Jellal","987862611",8601000,6255000,-2346000,-27.3
"Josef29","588644288",8553500,3600000,-4953500,-57.9
"MILU1110","341197896",8210000,8332500,122500,1.5
"Nachtwolf74","629941441",8199000,6450000,-1749000,-21.3
"Silchas Ruin","485891948",8181500,8400000,218500,2.7
"Deus ex Machina","685272141",8180500,0,-8180500,-100
"Emmitt","627611788",7940500,7560000,-380500,-4.8
"ṪѦ JediFant","861435415",7822500,3600000,-4222500,-54
"DarthUnaxis","731554425",7464500,4717500,-2747000,-36.8
"LordSkinny","633524812",7321500,2685000,-4636500,-63.3
"Odins rache","229262754",7173000,340000,-6833000,-95.3
"CaptainKelly","718362326",7093000,6602500,-490500,-6.9
"Stoffel","786132254",6723000,6507500,-215500,-3.2
"NΞKΘNΞΧU シ","656655975",6446000,6000000,-446000,-6.9
"VADS666","351844152",6405000,6730000,325000,5.1
"SКЏШΛŁКΞЯ","442171851",6374000,5347500,-1026500,-16.1
"RitterRunkel","724534733",6337500,9900000,3562500,56.2
"Thyranus","885297615",6162500,5250000,-912500,-14.8
"ṪѦ Thom san","277948331",6150500,4687500,-1463000,-23.8
"Acania","748991189",6141500,5350000,-791500,-12.9
"Papa Faett","842281138",6124000,5707500,-416500,-6.8
"Aleix Koka","728896449",5756000,4725000,-1031000,-17.9
"Skymaster","774651231",5695000,5752500,57500,1
"Kohlenkalle","655291236",5605500,5400000,-205500,-3.7
"Hoss","997196913",5233500,2381250,-2852250,-54.5
"Telemachus","237913636",4969500,5100000,130500,2.6
"DonBull","726762935",4612500,3900000,-712500,-15.4
"Appo","626873282",4607000,4050000,-557000,-12.1
"East Clintwood","822211689",4136500,5100000,963500,23.3
"Snafu exHuibu","991112621",3906500,2680000,-1226500,-31.4
"Lanzi","636115652",3727500,3000000,-727500,-19.5
"Mol Hosk","913615485",3701000,2830000,-871000,-23.5
"MrBete","862865286",3693000,900000,-2793000,-75.6
"Imperator","877586864",3553500,1972500,-1581000,-44.5
"HaihappenUhaha","988393429",3453500,2690000,-763500,-22.1
"Goldbeard Ceadeus","663265392",3231500,3300000,68500,2.1
"Kyle Katarn","397297858",3201500,2100000,-1101500,-34.4
"SS","181786441",2988000,1418750,-1569250,-52.5
"CJ","734513757",2907500,1835000,-1072500,-36.9
"Joggl","161384159",2354000,2192500,-161500,-6.9
"RoteZora87","532287738",2202500,0,-2202500,-100
"Tony1220","765335759",1583500,1960000,376500,23.8
