"name","allycode","estimatedScore","lastActualScore","diff","diffPercent"
"Abraham","297355133",16504500,17940000,1435500,8.7
"TSCC","334769237",11909000,10030000,-1879000,-15.8
"Ringo","368357455",10291500,12150000,1858500,18.1
"ṪѦ MakoDeth","218983262",10244000,6460000,-3784000,-36.9
"SuPerioR 3","439635988",8799500,10500000,1700500,19.3
"Ro-Tahn Taske","851385852",8773000,3600000,-5173000,-59
"DarthNox 2703","386563717",8432500,9450000,1017500,12.1
"DragonKing","257351551",8345500,7267500,-1078000,-12.9
"Josef29","588644288",8155000,8700000,545000,6.7
"Jellal","987862611",8114000,6040000,-2074000,-25.6
"MILU1110","341197896",7823500,8182500,359000,4.6
"Silchas Ruin","485891948",7783500,4950000,-2833500,-36.4
"Deus ex Machina","685272141",7705500,8250000,544500,7.1
"Emmitt","627611788",7331000,7245000,-86000,-1.2
"Odins rache","229262754",6704500,5750000,-954500,-14.2
"CaptainKelly","718362326",6608500,6802500,194000,2.9
"ṪѦ JediFant","861435415",6563000,5850000,-713000,-10.9
"Stoffel","786132254",6379500,6135000,-244500,-3.8
"SКЏШΛŁКΞЯ","442171851",5995000,5175000,-820000,-13.7
"ṪѦ Thom san","277948331",5709000,3650000,-2059000,-36.1
"Nachtwolf74","629941441",5706000,3450000,-2256000,-39.5
"Thyranus","885297615",5677000,5320000,-357000,-6.3
"Papa Faett","842281138",5626000,5550000,-76000,-1.4
"Skymaster","774651231",5376500,5880000,503500,9.4
"Aleix Koka","728896449",5278500,3600000,-1678500,-31.8
"Hoss","997196913",5229000,2111250,-3117750,-59.6
"Kohlenkalle","655291236",5147000,5400000,253000,4.9
"LordSkinny","633524812",5146500,3715000,-1431500,-27.8
"Telemachus","237913636",4994000,5100000,106000,2.1
"DonBull","726762935",4611000,3810000,-801000,-17.4
"Appo","626873282",4602500,3005000,-1597500,-34.7
"NΞKΘNΞΧU シ","656655975",4425000,3005000,-1420000,-32.1
"East Clintwood","822211689",4136000,5100000,964000,23.3
"RitterRunkel","724534733",4125000,6750000,2625000,63.6
"Snafu exHuibu","991112621",3898500,2170000,-1728500,-44.3
"DarthUnaxis","731554425",3891500,2415000,-1476500,-37.9
"VADS666","351844152",3844500,4507500,663000,17.2
"Acania","748991189",3757000,2035000,-1722000,-45.8
"MrBete","862865286",3744000,2990000,-754000,-20.1
"Mol Hosk","913615485",3554500,3380000,-174500,-4.9
"HaihappenUhaha","988393429",3453500,3065000,-388500,-11.2
"Lanzi","636115652",3420500,3000000,-420500,-12.3
"Goldbeard Ceadeus","663265392",3224000,3000000,-224000,-6.9
"Imperator","877586864",2970500,3007500,37000,1.2
"Kyle Katarn","397297858",2943500,2400000,-543500,-18.5
"CJ","734513757",2906500,1692500,-1214000,-41.8
"SS","181786441",2659000,600000,-2059000,-77.4
"Joggl","161384159",2352500,1952500,-400000,-17
"RoteZora87","532287738",2200500,580000,-1620500,-73.6
"Tony1220","765335759",1528000,1750000,222000,14.5
