"name","allycode","estimatedScore","lastActualScore","diff","diffPercent"
"Ringo","368357455",13613500,15300000,1686500,12.4
"Abraham","297355133",16888000,14400000,-2488000,-14.7
"DarthNox 2703","386563717",10701500,12600000,1898500,17.7
"SuPerioR 3","439635988",10105500,11400000,1294500,12.8
"RitterRunkel","724534733",7379000,10500000,3121000,42.3
"TSCC","334769237",13429000,9780000,-3649000,-27.2
"Skymaster","774651231",7871500,9247500,1376000,17.5
"DragonKing","257351551",9715000,8610000,-1105000,-11.4
"Silchas Ruin","485891948",8460000,8565000,105000,1.2
"ṪѦ JediFant","861435415",8743500,8400000,-343500,-3.9
"MILU1110","341197896",8210000,8400000,190000,2.3
"Emmitt","627611788",8861000,8100000,-761000,-8.6
"Deus ex Machina","685272141",8183000,7950000,-233000,-2.8
"East Clintwood","822211689",6846000,7425000,579000,8.5
"VADS666","351844152",7331000,7402500,71500,1
"Stoffel","786132254",7640000,7127500,-512500,-6.7
"CaptainKelly","718362326",7213500,6900000,-313500,-4.3
"Odins rache","229262754",8100500,6887500,-1213000,-15
"Jellal","987862611",9501500,6690000,-2811500,-29.6
"LordSkinny","633524812",8238500,6610000,-1628500,-19.8
"Nachtwolf74","629941441",8198500,6450000,-1748500,-21.3
"Josef29","588644288",10084500,6435000,-3649500,-36.2
"NΞKΘNΞΧU シ","656655975",7364000,6420000,-944000,-12.8
"ṪѦ MakoDeth","218983262",13814500,6220000,-7594500,-55
"Aleix Koka","728896449",6681000,6127500,-553500,-8.3
"Thyranus","885297615",6492500,6000000,-492500,-7.6
"Papa Faett","842281138",6305500,5650000,-655500,-10.4
"SКЏШΛŁКΞЯ","442171851",7293500,5482500,-1811000,-24.8
"Acania","748991189",7061000,5420000,-1641000,-23.2
"Snafu exHuibu","991112621",6566500,5410000,-1156500,-17.6
"Kohlenkalle","655291236",5606000,5400000,-206000,-3.7
"DarthUnaxis","731554425",8403500,5340000,-3063500,-36.5
"ṪѦ Thom san","277948331",6151500,5235000,-916500,-14.9
"Telemachus","237913636",4969500,5100000,130500,2.6
"Appo","626873282",5138000,4950000,-188000,-3.7
"Ro-Tahn Taske","851385852",9216000,4800000,-4416000,-47.9
"Imperator","877586864",3553500,3762500,209000,5.9
"MrBete","862865286",3693000,3547500,-145500,-3.9
"DonBull","726762935",4612000,3520000,-1092000,-23.7
"Goldbeard Ceadeus","663265392",3232500,3450000,217500,6.7
"Lanzi","636115652",4369500,3450000,-919500,-21
"HaihappenUhaha","988393429",3454000,3350000,-104000,-3
"Mol Hosk","913615485",3702500,3340000,-362500,-9.8
"Kyle Katarn","397297858",3683000,2630000,-1053000,-28.6
"Hoss","997196913",6238500,2323750,-3914750,-62.8
"CJ","734513757",3022000,1917500,-1104500,-36.5
"Joggl","161384159",2354000,1880000,-474000,-20.1
"Tony1220","765335759",1584000,1817500,233500,14.7
"SS","181786441",2987000,1550000,-1437000,-48.1
"RoteZora87","532287738",2203500,600000,-1603500,-72.8
